Mass;Fat;Wing;
;0;79;
19;0;81;
16.5;0;80;
17.7;0;78;
16.7;0;76;
17.6;0;81;
17.1;0;78;
15.6;0;81;
18;0;79;
16.5;0;77;
17;0;78;
16.5;0;80;
15.6;0;77;
18;0;82;
15.7;0;78;
15.4;0;78;
15.6;0;80;
16.9;0;81;
16.7;0;77;
16.9;0;80;
14.4;0;80;
17.2;0;78;
;0;;
;0;;
15.5;0;78;
18;0;68;
16.9;0;77;
14.6;0;77;
15.9;0;78;
17.1;0;76;
17;0;77;
17;0;80;
18.2;0;75;
18;0;79;
18;0;78;
19.2;0;78;
16;0;78;
18.9;0;75;
18.3;0;79;
19.2;0;80;
22.2;0;81;
16.5;0;79;
18.1;0;82;
18.2;0;76;
18.2;0;80;
18.6;0;78;
17.7;0;76;
16.8;0;73;
16.5;0;77;
17.8;0;78;
16.1;0;79;
19.2;0;80;
18;0;77;
17.3;0;77;
17.7;0;78;
17.9;0;79;
19.1;0;77;
18.7;0;78;
18;0;79;
15.8;0;76;
18.5;0;79;
18.4;0;75;
16.9;0;80;
18.2;0;80;
17.8;0;78;
18.2;0;77;
18.1;0;77;
17.5;0;76;
18.1;0;79;
17.2;0;80;
17.7;0;76;
18.9;0;78;
17.1;0;79;
17.2;0;74;
18.8;0;79;
19;0;79;
16.1;0;75;
16.6;0;77;
15.7;0;79;
18.1;0;83;
17.1;0;77;
16.2;0;79;
18.4;0;78;
16.6;0;78;
15.6;0;78;
17.4;0;75;
17.3;0;76;
16.9;0;77;
18.2;0;79;
19.4;0;76;
18.5;0;79;
17.2;0;79;
17.1;0;77;
17.6;1;74;
17.9;1;80;
16.6;1;86;
16.6;1;78;
22.1;1;83;
17.2;1;80;
;1;78;
15.7;1;82;
16.1;1;81;
15;1;77;
16.2;1;75;
16.5;1;76;
15.2;1;79;
19.2;1;78;
17.5;1;79;
17.4;1;80;
17.5;1;80;
17.2;1;76;
18.6;1;80;
17.9;1;79;
17.7;1;80;
17.1;1;78;
16.7;1;77;
18.2;1;81;
16.4;1;79;
19.8;1;79;
16.9;1;79;
19.9;1;78;
;1;;
;1;78;
;1;76;
;1;80;
;1;78;
17.3;1;77;
19.6;1;77;
17;1;79;
21.2;1;79;
19.7;1;76;
15.3;1;77;
19.5;1;;
17.7;1;80;
20.7;1;75;
18;1;75;
17.9;1;77;
15.5;1;75;
;1;77;
17.2;1;76;
18.4;1;75;
16.4;1;77;
16.3;1;79;
17.7;1;77;
18.3;1;81;
17.8;1;77;
17.4;1;77;
16.4;1;75;
17.4;1;76;
18;1;76;
17.2;1;80;
17.8;1;77;
;1;80;
17.4;1;78;
17.2;1;75;
16.6;1;78;
18.8;1;78;
18.4;1;79;
18.7;1;78;
16.5;1;76;
17.5;1;78;
19.4;1;80;
19.6;1;78;
18.5;1;80;
16.9;1;81;
17.2;1;74;
16.5;1;76;
17.5;1;78;
17.8;1;81;
16.7;1;79;
18.4;1;78;
18.7;1;79;
16.3;1;77;
16.9;1;73;
18.6;1;78;
17.1;1;75;
19.4;1;78;
17.7;1;79;
18.9;1;80;
17.6;1;78;
;1;86;
17.2;1;77;
18.4;1;79;
18.3;1;77;
19;1;77;
18.7;1;80;
17.9;1;80;
18.9;1;77;
19.5;1;77;
18.6;1;79;
18.1;1;78;
19.3;1;79;
18.4;1;78;
19.2;1;79;
16.8;1;78;
20.7;1;79;
18.1;1;78;
17.5;1;79;
20.1;1;78;
16.5;1;78;
18.6;1;82;
16.2;1;76;
17.2;1;79;
17;1;77;
18.5;1;77;
15.7;1;78;
18.2;1;77;
19.7;1;80;
17.9;1;77;
18.7;1;79;
18.5;1;76;
18.4;1;77;
18.3;1;77;
17.5;1;77;
18;1;75;
17.8;1;77;
19.2;1;78;
19.8;1;76;
18.5;1;74;
18.4;1;78;
16.3;1;77;
;1;79;
15.8;1;78;
18.2;1;79;
18;1;81;
19.8;1;80;
19.8;1;82;
17.2;1;78;
18;1;80;
16.4;1;75;
16.9;1;77;
17.9;1;78;
19.4;1;78;
17.8;1;79;
18.6;1;79;
18.1;1;81;
17.3;1;79;
16.7;1;76;
18.2;1;79;
18.4;1;79;
17.2;1;79;
17.2;1;78;
17.2;1;76;
19.4;1;79;
19.1;1;78;
19;1;77;
19.4;1;77;
19.2;1;;
;2;;
20.5;2;79;
19;2;83;
20;2;82;
18;2;80;
19.4;2;81;
;2;81;
15.3;2;78;
18.9;2;80;
24.2;2;79;
17.8;2;81;
20.3;2;76;
22.1;2;82;
16.4;2;78;
18.5;2;81;
18.7;2;79;
17.3;2;79;
18;2;82;
20.8;2;78;
22.1;2;71;
18.9;2;78;
18.4;2;78;
15.6;2;77;
19.8;2;78;
17.8;2;77;
18.5;2;78;
17.1;2;77;
15.3;2;75;
16.2;2;77;
17.8;2;77;
17.9;2;72;
18.5;2;78;
16.9;2;77;
23.7;2;78;
17.1;2;78;
19.8;2;79;
18.9;2;77;
18.6;2;77;
18.3;2;76;
15.1;2;76;
20.3;2;78;
16.4;2;79;
16.6;2;81;
18.6;2;81;
17.7;2;77;
16.6;2;76;
19.4;2;83;
16.4;2;81;
16.4;2;82;
17.5;2;85;
18.1;2;81;
18.3;2;80;
17.5;2;81;
19.3;2;79;
18.8;2;81;
18.1;2;80;
17.1;2;80;
18.6;2;79;
21.7;2;79;
17.9;2;79;
19.7;2;82;
20.1;2;77;
18;2;79;
17.6;2;77;
19.5;2;76;
16.4;2;76;
18.8;2;76;
19.4;2;84;
16.6;2;79;
18.8;2;82;
18.1;2;80;
20.5;2;85;
18.4;2;79;
19.7;2;78;
20.1;2;81;
19.5;2;80;
18.3;2;76;
20.9;2;79;
18.5;2;79;
20.6;2;79;
19.2;2;81;
15.7;2;79;
18.6;2;80;
16.6;2;78;
19.1;2;78;
21;2;78;
;2;79;
18;2;79;
16.3;2;76;
16.1;2;77;
;2;82;
17.3;2;77;
15.4;2;77;
17.3;2;80;
16.9;2;77;
17.9;2;78;
18;2;79;
16.8;2;79;
17.1;2;76;
18.3;2;78;
17.2;2;76;
20.5;2;79;
17.1;2;80;
18.7;2;77;
21.4;2;81;
17.7;2;78;
19.4;2;78;
17.1;2;78;
18.6;2;79;
17.3;2;79;
19.1;2;79;
16.6;2;76;
18.9;2;83;
19.8;2;79;
17.1;2;76;
17.8;2;78;
16.9;2;77;
18.2;2;79;
19;2;79;
21.2;2;80;
19.4;2;82;
17.4;2;81;
18.2;2;81;
17.9;2;79;
19.7;2;79;
21.7;2;75;
;2;;
;2;;
;2;;
;2;80;
;2;80;
;2;77;
17.9;2;81;
21.2;2;77;
17.4;2;76;
17.2;2;76;
20.1;2;79;
18.4;2;80;
17.5;2;75;
20.8;2;79;
19.2;2;81;
20.2;2;79;
17.7;2;79;
20;2;81;
20.3;2;;
21.1;2;80;
19.4;2;78;
19.2;2;76;
19.2;2;80;
16.8;2;78;
21.9;2;79;
21;2;81;
17.6;2;76;
16.8;2;79;
16.8;2;80;
15.9;2;75;
17.4;2;80;
20.8;2;77;
19.5;2;79;
16.5;2;77;
17.2;2;78;
;2;78;
17.8;2;79;
20.3;2;81;
20.5;2;;
16.3;2;79;
17.3;2;77;
19.5;2;78;
14.9;2;81;
19.4;2;80;
16.7;2;72;
17.7;2;81;
17.4;2;75;
16.2;2;76;
17.9;2;76;
20;2;80;
18.1;2;78;
17.9;2;77;
20.3;2;;
19.6;2;80;
17.1;2;78;
20.6;2;79;
21.7;2;77;
18.5;2;77;
21.1;2;79;
22.2;2;77;
22.1;2;77;
21.9;2;80;
18.4;2;76;
20.6;2;77;
19.2;2;78;
22.7;2;79;
21.3;2;76;
20;2;78;
19.6;2;82;
22.3;2;81;
18.5;2;76;
22.9;2;78;
20.3;2;79;
21.7;2;78;
19.3;2;77;
22.6;2;79;
17.1;2;76;
21;2;;
21.3;2;79;
19.5;2;79;
19.5;2;81;
22.9;2;80;
20.9;2;80;
22.5;2;80;
18.1;2;79;
18;2;78;
;2;78;
21;2;80;
18;2;78;
18.9;2;78;
19.3;2;79;
18.8;2;79;
